Instance;d;k;w_bound;Time;OurObj;BestBound;intercept;slopes
../src/instance_set/generated_instances/toy_50_10_-1.dat;10;50;10.000000;293260;33.783013;33.779692;-0.170172;0.000000~1.084743~0.863445~0.000000~1.246065~1.224823~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-1.dat;20;50;10.000000;300014;31.950392;13.574835;-0.064634;1.343598~1.203457~0.000000~0.000000~0.933930~0.742244~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-1.dat;30;50;10.000000;300007;36.656111;0.000000;0.113190;0.000000~0.000000~1.092950~1.702006~1.516726~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~1.195116~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-2.dat;10;50;10.000000;134586;43.196029;43.192149;-0.078295;0.000000~1.251727~0.865087~0.000000~1.095796~1.283709~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-2.dat;20;50;10.000000;203229;39.747872;39.743931;-0.181932;0.749291~0.777098~0.000000~0.000000~1.006438~0.878365~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-2.dat;30;50;10.000000;300011;36.843064;0.000000;-0.490477;0.819256~0.000000~1.094514~1.647570~0.958983~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-3.dat;10;50;10.000000;50348;45.536303;45.531940;0.440578;1.096522~0.000000~0.908740~0.000000~0.894493~0.935113~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-3.dat;20;50;10.000000;300007;33.028697;0.000000;-0.468393;0.000000~0.941531~1.143001~0.779331~0.000000~1.686531~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-3.dat;30;50;10.000000;300008;27.203575;0.000000;-0.454678;1.231887~0.920888~0.000000~0.000000~0.835686~1.148533~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-4.dat;10;50;10.000000;300009;39.584508;14.402838;-0.087854;0.000000~0.000000~1.023482~0.804991~1.107383~0.809609~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-4.dat;20;50;10.000000;300007;46.960853;42.520847;-0.521113;0.000000~0.000000~0.000000~0.300044~0.839709~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~-0.510608~0.000000~0.000000~-0.895993~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-4.dat;30;50;10.000000;300006;41.756376;0.000000;-0.132378;1.281021~1.266446~1.207151~0.000000~0.000000~1.074397~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-5.dat;10;50;10.000000;189495;38.437436;38.434111;0.346228;1.425037~0.986237~0.000000~0.705340~0.000000~1.230890~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-5.dat;20;50;10.000000;300009;39.806101;0.660804;-0.193631;1.009458~0.000000~0.571761~1.292230~1.604940~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-5.dat;30;50;10.000000;300008;31.444881;0.000000;0.146548;0.842001~0.000000~0.953403~0.000000~1.069103~0.794215~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
